time,voltage
1.6674218788E-03,4.202700E-01
1.6674468788E-03,4.206100E-01
1.6674718788E-03,4.208700E-01
1.6674968788E-03,4.209500E-01
1.6675218788E-03,4.209500E-01
1.6675468788E-03,4.208700E-01
1.6675718788E-03,4.208700E-01
1.6675968788E-03,4.208700E-01
1.6676218788E-03,4.209500E-01
1.6676468788E-03,4.211200E-01
1.6676718788E-03,4.212000E-01
1.6676968788E-03,4.212000E-01
1.6677218788E-03,4.210300E-01
1.6677468788E-03,4.208700E-01
1.6677718788E-03,4.206100E-01
1.6677968788E-03,4.203600E-01
1.6678218788E-03,4.201900E-01
1.6678468788E-03,4.200200E-01
1.6678718788E-03,4.200200E-01
1.6678968788E-03,4.201000E-01
1.6679218788E-03,4.203600E-01
1.6679468788E-03,4.205300E-01
1.6679718788E-03,4.206100E-01
1.6679968788E-03,4.207000E-01
1.6680218788E-03,4.206100E-01
1.6680468788E-03,4.205300E-01
1.6680718788E-03,4.203600E-01
1.6680968788E-03,4.202700E-01
1.6681218788E-03,4.201000E-01
1.6681468788E-03,4.200200E-01
1.6681718788E-03,4.201000E-01
1.6681968788E-03,4.203600E-01
1.6682218788E-03,4.207800E-01
1.6682468788E-03,4.212900E-01
1.6682718788E-03,4.217100E-01
1.6682968788E-03,4.218800E-01
1.6683218788E-03,4.218000E-01
1.6683468788E-03,4.215400E-01
1.6683718788E-03,4.210300E-01
1.6683968788E-03,4.205300E-01
1.6684218788E-03,4.201000E-01
1.6684468788E-03,4.198500E-01
1.6684718788E-03,4.196800E-01
1.6684968788E-03,4.197700E-01
1.6685218788E-03,4.199300E-01
1.6685468788E-03,4.203600E-01
1.6685718788E-03,4.207800E-01
1.6685968788E-03,4.211200E-01
1.6686218788E-03,4.213700E-01
1.6686468788E-03,4.216300E-01
1.6686718788E-03,4.218800E-01
1.6686968788E-03,4.221300E-01
1.6687218788E-03,4.222200E-01
1.6687468788E-03,4.222200E-01
1.6687718788E-03,4.220500E-01
1.6687968788E-03,4.218800E-01
1.6688218788E-03,4.215400E-01
1.6688468788E-03,4.211200E-01
1.6688718788E-03,4.207800E-01
1.6688968788E-03,4.206100E-01
1.6689218788E-03,4.205300E-01
1.6689468788E-03,4.206100E-01
1.6689718788E-03,4.206100E-01
1.6689968788E-03,4.207000E-01
1.6690218788E-03,4.208700E-01
1.6690468788E-03,4.209500E-01
1.6690718788E-03,4.210300E-01
1.6690968788E-03,4.211200E-01
1.6691218788E-03,4.211200E-01
1.6691468788E-03,4.211200E-01
1.6691718788E-03,4.210300E-01
1.6691968788E-03,4.208700E-01
1.6692218788E-03,4.207000E-01
1.6692468788E-03,4.206100E-01
1.6692718788E-03,4.206100E-01
1.6692968788E-03,4.206100E-01
1.6693218788E-03,4.207800E-01
1.6693468788E-03,4.208700E-01
1.6693718788E-03,4.209500E-01
1.6693968788E-03,4.209500E-01
1.6694218788E-03,4.207800E-01
1.6694468788E-03,4.207000E-01
1.6694718788E-03,4.206100E-01
1.6694968788E-03,4.206100E-01
1.6695218788E-03,4.206100E-01
1.6695468788E-03,4.207000E-01
1.6695718788E-03,4.206100E-01
1.6695968788E-03,4.205300E-01
1.6696218788E-03,4.206100E-01
1.6696468788E-03,4.205300E-01
1.6696718788E-03,4.204400E-01
1.6696968788E-03,4.201900E-01
1.6697218788E-03,4.198500E-01
1.6697468788E-03,4.196800E-01
1.6697718788E-03,4.197700E-01
1.6697968788E-03,4.199300E-01
1.6698218788E-03,4.200200E-01
1.6698468788E-03,4.201000E-01
1.6698718788E-03,4.201000E-01
